SerialNumber,
StationID,TST-C-ROS-T2935
SWPN,ROS0001921-V1_0
SWrev,1.0
Operation_Code,FUNCTIONAL_TEST(SI)

               ,Yield
TRS05.1 - P3VCC Voltage,1.000000,
TRS05.2 - VDDA Voltage,1.000000,
TRS05.3 - VDDB Voltage,1.000000,
TRS05.4 - VLoad Normal Mode Voltage,0.300000,
TRS05.5 - Frequency,1.000000,
TRS05.6 - Vpk  ,1.000000,
TRS05.7 - Vy Voltage,1.000000,
TRS05.8 - VCharger Voltage,0.000000,
TRS05.9 - VDDA Voltage,1.000000,
TRS05.10 - VDDB Voltage,1.000000,
TRS05.11 - VLoad Battery Mode Voltage,1.000000,

               ,Mean,    Stdev,   Ppk
TRS05.1 - P3VCC Voltage,3.305621,0.000126,117.737431,3.305392,3.305454,3.305566,3.305610,3.305599,3.305655,3.305675,3.305731,3.305752,3.305778
TRS05.2 - VDDA Voltage,9.810184,0.009758,27.675619,9.796357,9.797674,9.801454,9.806375,9.808862,9.812591,9.814947,9.817207,9.823809,9.822569
TRS05.3 - VDDB Voltage,0.000304,6.821551E-5,487.160440,0.000416,0.000312,0.000330,0.000369,0.000211,0.000275,0.000269,0.000377,0.000263,0.000221
TRS05.4 - VLoad Normal Mode Voltage,23.396169,0.014624,-533.293049,23.391338,23.423723,23.415267,23.405483,23.398261,23.393286,23.386760,23.387047,23.380670,23.379860
TRS05.5 - Frequency,101915.000000,223.271136,12.070526,101830.000000,101830.000000,102040.000000,101830.000000,102250.000000,102040.000000,101420.000000,102040.000000,101830.000000,102040.000000
TRS05.6 - Vpk  ,12.806000,0.015166,6.725681,12.795000,12.795000,12.806000,12.785000,12.817000,12.817000,12.806000,12.795000,12.838000,12.806000
TRS05.7 - Vy Voltage,38.115192,0.006272,165.562867,38.105542,38.125559,38.124539,38.118429,38.116232,38.114511,38.113498,38.112674,38.110748,38.110184
TRS05.8 - VCharger Voltage,29.170054,0.079727,-4.891924,29.234754,29.051540,29.083138,29.086859,29.137814,29.215083,29.142414,29.216589,29.262641,29.269709
TRS05.9 - VDDA Voltage,0.014941,0.000529,53.600083,0.013864,0.014692,0.014640,0.014839,0.015278,0.015412,0.015518,0.015581,0.014601,0.014988
TRS05.10 - VDDB Voltage,9.797989,0.010383,25.618800,9.779260,9.785591,9.791425,9.794892,9.796213,9.802188,9.805235,9.805659,9.807967,9.811458
TRS05.11 - VLoad Battery Mode Voltage,23.609214,0.009986,-788.047169,23.625729,23.621321,23.617668,23.613644,23.609066,23.604435,23.603717,23.601527,23.598362,23.596675
